1,"Boxing 1",8,163.74,70,185
2,"Yoga for Kids 2",20,203.01,40,148
3,"Aerobics 3",7,302.11,43,129
4,"Swimming 4",8,205.05,84,75
5,"Cycling 5",13,299.87,80,157
6,"Swimming 6",20,432.76,49,149
7,"Swimming 7",16,471.39,36,86
8,"Gymnastics 8",7,357.17,44,31
9,"Gymnastics 9",16,193.49,69,130
10,"Martial Arts 10",19,499.83,83,4
11,"Tennis Lessons 11",16,455.72,88,119
12,"Volleyball Skills 12",20,347.03,37,140
13,"Martial Arts 13",11,328.05,55,42
14,"Fitness Training 14",12,195.87,31,78
15,"Aerobics 15",13,403.34,62,34
16,"Boxing 16",17,200.90,51,10
17,"Pilates 17",10,394.43,33,12
18,"Aerobics 18",15,470.39,44,42
19,"Pilates 19",6,176.69,44,74
20,"Martial Arts 20",6,446.78,45,109
21,"Basketball Basics 21",7,360.09,62,48
22,"Cycling 22",17,449.10,31,34
23,"Soccer Training 23",14,196.84,46,158
24,"Tennis Lessons 24",20,200.03,88,123
25,"Yoga for Kids 25",18,488.28,52,165
26,"Tennis Lessons 26",5,176.78,87,158
27,"Swimming 27",19,394.54,78,126
28,"Aerobics 28",12,258.68,79,106
29,"Running Club 29",13,223.60,65,113
30,"Aerobics 30",20,202.97,54,111
31,"Gymnastics 31",15,353.23,40,117
32,"Pilates 32",18,366.21,90,188
33,"Soccer Training 33",13,448.44,60,144
34,"Aerobics 34",9,320.09,42,195
35,"Basketball Basics 35",8,394.21,85,28
36,"Gymnastics 36",19,387.14,51,196
37,"Aerobics 37",16,361.21,81,40
38,"Basketball Basics 38",14,403.55,32,67
39,"Running Club 39",16,454.26,41,120
40,"Boxing 40",15,150.20,83,4
41,"Basketball Basics 41",8,386.06,68,167
42,"Yoga for Kids 42",17,370.27,48,46
43,"Fitness Training 43",8,174.84,43,97
44,"Cycling 44",15,238.11,48,91
45,"Martial Arts 45",19,478.84,67,140
46,"Tennis Lessons 46",9,326.17,38,17
47,"Cycling 47",10,291.69,87,196
48,"Pilates 48",18,444.78,36,167
49,"Martial Arts 49",20,312.41,85,96
50,"Yoga for Kids 50",16,471.24,43,116
51,"Boxing 51",12,398.73,86,131
52,"Boxing 52",5,332.66,46,83
53,"Yoga for Kids 53",19,193.23,30,164
54,"Tennis Lessons 54",10,267.30,49,147
55,"Swimming 55",17,242.37,54,174
56,"Tennis Lessons 56",18,496.97,59,151
57,"Gymnastics 57",20,392.20,69,101
58,"Boxing 58",12,273.42,71,87
59,"Boxing 59",11,358.70,48,174
60,"Soccer Training 60",16,469.65,41,15
61,"Yoga for Kids 61",11,434.39,58,121
62,"Cycling 62",7,263.02,64,127
63,"Dance 63",9,172.13,49,9
64,"Aerobics 64",19,163.95,32,25
65,"Running Club 65",19,173.50,76,184
66,"Cycling 66",16,334.78,75,85
67,"Martial Arts 67",8,387.17,43,177
68,"Running Club 68",11,327.74,35,181
69,"Pilates 69",20,219.63,51,31
70,"Aerobics 70",7,355.28,48,71
71,"Gymnastics 71",13,349.34,88,134
72,"Pilates 72",7,268.53,54,57
73,"Yoga for Kids 73",6,434.42,87,108
74,"Basketball Basics 74",17,374.68,67,30
75,"Volleyball Skills 75",15,274.21,62,17
76,"Martial Arts 76",15,375.76,58,89
77,"Volleyball Skills 77",6,441.59,30,33
78,"Aerobics 78",19,160.72,60,94
79,"Pilates 79",17,262.34,36,75
80,"Soccer Training 80",9,329.34,87,17
81,"Cycling 81",6,459.48,36,80
82,"Yoga for Kids 82",7,436.24,41,180
83,"Running Club 83",14,188.12,58,152
84,"Fitness Training 84",9,371.98,82,115
85,"Martial Arts 85",14,358.10,41,17
86,"Gymnastics 86",16,429.01,90,138
87,"Gymnastics 87",18,299.27,42,67
88,"Yoga for Kids 88",5,288.79,70,124
89,"Swimming 89",16,475.13,65,156
90,"Basketball Basics 90",9,461.68,65,121
91,"Pilates 91",9,222.10,89,118
92,"Fitness Training 92",6,218.68,55,67
93,"Aerobics 93",19,415.09,45,7
94,"Dance 94",20,222.42,32,50
95,"Soccer Training 95",13,467.37,81,88
96,"Yoga for Kids 96",9,405.25,47,142
97,"Basketball Basics 97",5,211.90,49,84
98,"Aerobics 98",6,410.78,34,16
99,"Volleyball Skills 99",13,376.59,71,80
100,"Cycling 100",8,405.35,64,90
101,"Aerobics 101",19,341.75,55,153
102,"Pilates 102",14,409.67,44,40
103,"Martial Arts 103",14,360.97,60,199
104,"Martial Arts 104",8,266.33,76,21
105,"Martial Arts 105",12,295.81,63,190
106,"Soccer Training 106",18,476.56,46,7
107,"Volleyball Skills 107",19,309.91,39,65
108,"Gymnastics 108",13,375.31,66,62
109,"Cycling 109",15,395.86,32,126
110,"Soccer Training 110",14,245.56,33,79
111,"Martial Arts 111",13,333.25,62,67
112,"Tennis Lessons 112",14,294.41,48,89
113,"Gymnastics 113",14,188.08,52,37
114,"Volleyball Skills 114",14,277.30,76,126
115,"Basketball Basics 115",9,232.48,33,25
116,"Boxing 116",15,186.10,80,44
117,"Yoga for Kids 117",7,389.03,89,109
118,"Soccer Training 118",15,461.82,43,13
119,"Aerobics 119",14,497.40,64,74
120,"Basketball Basics 120",16,272.46,88,71
121,"Aerobics 121",12,460.10,67,94
122,"Swimming 122",20,167.66,50,162
123,"Yoga for Kids 123",7,399.82,45,103
124,"Gymnastics 124",13,315.13,72,86
125,"Aerobics 125",16,231.15,49,194
126,"Running Club 126",19,355.15,55,93
127,"Volleyball Skills 127",13,242.68,45,42
128,"Tennis Lessons 128",11,304.28,76,54
129,"Cycling 129",14,269.74,66,72
