1,"Athletic Complex 1",Jerusalem,341
2,"Wellness Center 2",Petah Tikva,120
3,"Sports Center 3",Ramat Gan,435
4,"Wellness Center 4",Petah Tikva,321
5,"Sport Arena 5",Netanya,186
6,"Training Facility 6",Holon,394
7,"Recreation Center 7",Holon,201
8,"Recreation Center 8",Rishon LeZion,222
9,"Community Hall 9",Rishon LeZion,340
10,"Wellness Center 10",Tel Aviv,188
11,"Wellness Center 11",Tel Aviv,76
12,"Wellness Center 12",Petah Tikva,343
13,"Wellness Center 13",Netanya,466
14,"Community Hall 14",Beersheba,434
15,"Wellness Center 15",Netanya,370
16,"Recreation Center 16",Ramat Gan,98
17,"Recreation Center 17",Ramat Gan,241
18,"Athletic Complex 18",Holon,459
19,"Sports Center 19",Ramat Gan,298
20,"Wellness Center 20",Ramat Gan,422
21,"Wellness Center 21",Ashdod,215
22,"Athletic Complex 22",Tel Aviv,385
23,"Sports Center 23",Beersheba,362
24,"Fitness Hub 24",Holon,350
25,"Training Facility 25",Rishon LeZion,481
26,"Wellness Center 26",Beersheba,179
27,"Community Hall 27",Petah Tikva,174
28,"Sports Center 28",Tel Aviv,482
29,"Training Facility 29",Netanya,254
30,"Wellness Center 30",Tel Aviv,190
31,"Recreation Center 31",Holon,335
32,"Training Facility 32",Ashdod,499
33,"Training Facility 33",Holon,405
34,"Athletic Complex 34",Netanya,326
35,"Recreation Center 35",Jerusalem,477
36,"Sport Arena 36",Netanya,90
37,"Recreation Center 37",Jerusalem,331
38,"Recreation Center 38",Netanya,288
39,"Training Facility 39",Rishon LeZion,129
40,"Recreation Center 40",Holon,98
41,"Fitness Hub 41",Ashdod,243
42,"Training Facility 42",Beersheba,204
43,"Recreation Center 43",Petah Tikva,154
44,"Fitness Hub 44",Holon,495
45,"Fitness Hub 45",Beersheba,97
46,"Wellness Center 46",Ramat Gan,326
47,"Sports Center 47",Ashdod,288
48,"Fitness Hub 48",Tel Aviv,438
49,"Community Hall 49",Netanya,58
50,"Community Hall 50",Netanya,374
51,"Community Hall 51",Jerusalem,139
52,"Wellness Center 52",Jerusalem,375
53,"Community Hall 53",Holon,103
54,"Recreation Center 54",Beersheba,153
55,"Wellness Center 55",Jerusalem,205
56,"Sports Center 56",Haifa,352
57,"Recreation Center 57",Netanya,53
58,"Sports Center 58",Tel Aviv,273
59,"Recreation Center 59",Rishon LeZion,86
60,"Community Hall 60",Rishon LeZion,232
61,"Sport Arena 61",Ashdod,392
62,"Training Facility 62",Tel Aviv,83
63,"Community Hall 63",Petah Tikva,319
64,"Sport Arena 64",Holon,172
65,"Sport Arena 65",Jerusalem,411
66,"Community Hall 66",Rishon LeZion,275
67,"Fitness Hub 67",Ashdod,416
68,"Sport Arena 68",Jerusalem,271
69,"Recreation Center 69",Holon,154
70,"Sports Center 70",Ashdod,443
71,"Community Hall 71",Petah Tikva,489
72,"Sport Arena 72",Beersheba,247
73,"Training Facility 73",Jerusalem,416
74,"Wellness Center 74",Jerusalem,267
75,"Community Hall 75",Tel Aviv,440
76,"Recreation Center 76",Petah Tikva,148
77,"Fitness Hub 77",Rishon LeZion,202
78,"Sport Arena 78",Rishon LeZion,72
79,"Sport Arena 79",Netanya,185
80,"Fitness Hub 80",Petah Tikva,292
81,"Sport Arena 81",Netanya,358
82,"Athletic Complex 82",Petah Tikva,483
83,"Recreation Center 83",Beersheba,327
84,"Athletic Complex 84",Jerusalem,261
85,"Sports Center 85",Beersheba,478
86,"Sport Arena 86",Jerusalem,289
87,"Athletic Complex 87",Haifa,80
88,"Fitness Hub 88",Beersheba,494
89,"Athletic Complex 89",Holon,241
90,"Training Facility 90",Haifa,414
91,"Wellness Center 91",Ramat Gan,100
92,"Wellness Center 92",Petah Tikva,352
93,"Training Facility 93",Jerusalem,431
94,"Sport Arena 94",Jerusalem,430
95,"Training Facility 95",Petah Tikva,247
96,"Wellness Center 96",Tel Aviv,266
97,"Sport Arena 97",Beersheba,389
98,"Sports Center 98",Netanya,373
99,"Sports Center 99",Haifa,319
100,"Sport Arena 100",Petah Tikva,74
101,"Recreation Center 101",Haifa,110
102,"Athletic Complex 102",Beersheba,420
103,"Recreation Center 103",Holon,271
104,"Wellness Center 104",Beersheba,318
105,"Training Facility 105",Ashdod,352
106,"Fitness Hub 106",Haifa,382
107,"Fitness Hub 107",Ashdod,425
108,"Recreation Center 108",Petah Tikva,287
109,"Fitness Hub 109",Ramat Gan,301
110,"Fitness Hub 110",Petah Tikva,402
111,"Community Hall 111",Tel Aviv,329
112,"Sport Arena 112",Ramat Gan,185
113,"Recreation Center 113",Jerusalem,173
114,"Sport Arena 114",Beersheba,371
115,"Recreation Center 115",Jerusalem,287
116,"Sports Center 116",Netanya,139
117,"Sports Center 117",Beersheba,429
118,"Sport Arena 118",Holon,325
119,"Recreation Center 119",Tel Aviv,165
120,"Sports Center 120",Haifa,127
121,"Community Hall 121",Holon,393
122,"Training Facility 122",Ramat Gan,254
123,"Athletic Complex 123",Tel Aviv,423
124,"Fitness Hub 124",Rishon LeZion,200
125,"Community Hall 125",Tel Aviv,475
